boundary_id,name,state,month,family,total,status_single_source,status_corroborated,status_contradicted,status_unassessed,severity_low,severity_medium,severity_high,severity_unknown
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-11,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-12,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-01,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-02,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-03,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-04,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-05,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-06,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2026-07,EXT,0,0,0,0,0,0,0,0,0
